Variable:,measure_id,measure_name,location_set,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,metric_id,metric_name,unit,val,upper,lower
Label:,Measure ID,Measure Name,Location Set,Location ID,Location Name,Sex ID,Sex Name,Age Group ID,Age Group Name,Year ID,Metric ID,Metric Name,Unit,Value,95% Uncertainty Interval (Upper Bound),95% Uncertainty Interval (Lower Bound)
Coding:,19,Continuous,GBD,6,China,1,Male,10,25 to 29,1990,3,Rate,g/day,,,
,,,4 world regions,7,Democratic People's Republic of Korea,2,Female,11,30 to 34,1991,,,% energy/day,,,
,,,African Union,8,Taiwan (Province of China),3,Both,12,35 to 39,1992,,,,,,
,,,EU,10,Cambodia,,,13,40 to 44,1993,,,,,,
,,,G20,11,Indonesia,,,14,45 to 49,1994,,,,,,
,,,Nordic Region,12,Lao People's Democratic Republic,,,15,50 to 54,1995,,,,,,
,,,OECD,13,Malaysia,,,16,55 to 59,1996,,,,,,
,,,WHO regions,14,Maldives,,,17,60 to 64,1997,,,,,,
,,,World Bank income levels,15,Myanmar,,,18,65 to 69,1998,,,,,,
,,,World Bank regions,16,Philippines,,,19,70 to 74,1999,,,,,,
,,,,17,Sri Lanka,,,20,75 to 79,2000,,,,,,
,,,,18,Thailand,,,30,80 to 84,2001,,,,,,
,,,,19,Timor-Leste,,,31,85 to 89,2002,,,,,,
,,,,20,Viet Nam,,,32,90 to 94,2003,,,,,,
,,,,22,Fiji,,,157,25 plus,2004,,,,,,
,,,,23,Kiribati,,,235,95 plus,2005,,,,,,
,,,,24,Marshall Islands,,,,,2006,,,,,,
,,,,25,Micronesia (Federated States of),,,,,2007,,,,,,
,,,,26,Papua New Guinea,,,,,2008,,,,,,
,,,,27,Samoa,,,,,2009,,,,,,
,,,,28,Solomon Islands,,,,,2010,,,,,,
,,,,29,Tonga,,,,,2011,,,,,,
,,,,30,Vanuatu,,,,,2012,,,,,,
,,,,33,Armenia,,,,,2013,,,,,,
,,,,34,Azerbaijan,,,,,2014,,,,,,
,,,,35,Georgia,,,,,2015,,,,,,
,,,,36,Kazakhstan,,,,,2016,,,,,,
,,,,37,Kyrgyzstan,,,,,2017,,,,,,
,,,,38,Mongolia,,,,,2018,,,,,,
,,,,39,Tajikistan,,,,,2019,,,,,,
,,,,40,Turkmenistan,,,,,,,,,,,
,,,,41,Uzbekistan,,,,,,,,,,,
,,,,43,Albania,,,,,,,,,,,
,,,,44,Bosnia and Herzegovina,,,,,,,,,,,
,,,,45,Bulgaria,,,,,,,,,,,
,,,,46,Croatia,,,,,,,,,,,
,,,,47,Czechia,,,,,,,,,,,
,,,,48,Hungary,,,,,,,,,,,
,,,,49,North Macedonia,,,,,,,,,,,
,,,,50,Montenegro,,,,,,,,,,,
,,,,51,Poland,,,,,,,,,,,
,,,,52,Romania,,,,,,,,,,,
,,,,53,Serbia,,,,,,,,,,,
,,,,54,Slovakia,,,,,,,,,,,
,,,,55,Slovenia,,,,,,,,,,,
,,,,57,Belarus,,,,,,,,,,,
,,,,58,Estonia,,,,,,,,,,,
,,,,59,Latvia,,,,,,,,,,,
,,,,60,Lithuania,,,,,,,,,,,
,,,,61,Republic of Moldova,,,,,,,,,,,
,,,,62,Russian Federation,,,,,,,,,,,
,,,,63,Ukraine,,,,,,,,,,,
,,,,66,Brunei Darussalam,,,,,,,,,,,
,,,,67,Japan,,,,,,,,,,,
,,,,68,Republic of Korea,,,,,,,,,,,
,,,,69,Singapore,,,,,,,,,,,
,,,,71,Australia,,,,,,,,,,,
,,,,72,New Zealand,,,,,,,,,,,
,,,,74,Andorra,,,,,,,,,,,
,,,,75,Austria,,,,,,,,,,,
,,,,76,Belgium,,,,,,,,,,,
,,,,77,Cyprus,,,,,,,,,,,
,,,,78,Denmark,,,,,,,,,,,
